"","Country Code","Year","Country","Region","IncomeGroup","Type","Silk","Cotton","Wheat","Rice","Barley","Maize","Other.Cereals","Coffee","Cocoa","Tea","Soft.Drinks","Alcohol","Milk","Juices","Population.Growth","Undernourishment","Overweight","Death","Income_Male","Income_Female","GDP.per.person","P.G.U.S","U.N.U.S","O.W.U.S","D.U.S","I.M.U.S","I.F.U.S","Gdp.P.U.S","sum.cloth","sum.cereal","sum.drinks","CVT"
"1","ECA",1996,"Afghanistan",NA,NA,"Export",NA,NA,0.998714177091776,0,0,0,0.00128582290822388,NA,NA,NA,NA,NA,NA,NA,0.0584723916861662,NA,NA,NA,80.5518054282109,81.6319268357129,21756.2099658799,1.16341161998189,NA,NA,NA,90.2399978637695,93.1399993896484,82911.4765625,0,8135646,0,NA
"2","ECA",1996,"Afghanistan",NA,NA,"Import",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0.0584723916861662,NA,NA,NA,80.5518054282109,81.6319268357129,21756.2099658799,1.16341161998189,NA,NA,NA,90.2399978637695,93.1399993896484,82911.4765625,0,0,68768,NA
"3","ECA",1997,"Afghanistan",NA,NA,"Export",NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,0.123085860386269,NA,NA,NA,80.0429326870264,81.1612502283697,22695.4985882191,1.20396029701272,NA,NA,NA,90.4599990844727,93.2600021362305,84603.609375,0,2290359,11041,NA
"4","ECA",1997,"Afghanistan",NA,NA,"Import",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0.123085860386269,NA,NA,NA,80.0429326870264,81.1612502283697,22695.4985882191,1.20396029701272,NA,NA,NA,90.4599990844727,93.2600021362305,84603.609375,0,0,48269,NA
"5","ECA",1998,"Afghanistan",NA,NA,"Export",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0569801974293966,NA,NA,NA,78.7295538890269,79.951710982621,22607.8938453078,1.16571452642589,NA,NA,NA,90.75,93.5699996948242,86654.7109375,0,0,0,NA
"6","ECA",1998,"Afghanistan",NA,NA,"Import",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0.0569801974293966,NA,NA,NA,78.7295538890269,79.951710982621,22607.8938453078,1.16571452642589,NA,NA,NA,90.75,93.5699996948242,86654.7109375,0,0,19381,NA
"7","ECA",1999,"Afghanistan",NA,NA,"Export",NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.0183652849072473,NA,NA,NA,77.1238921693578,78.1117629273118,22557.5053363364,1.14834004729055,NA,NA,NA,91.0800018310547,93.8000030517578,89092.90625,0,4498989,0,NA
"8","ECA",1999,"Afghanistan",NA,NA,"Import",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183652849072473,NA,NA,NA,77.1238921693578,78.1117629273118,22557.5053363364,1.14834004729055,NA,NA,NA,91.0800018310547,93.8000030517578,89092.90625,0,0,0,NA
"9","ECA",2000,"Afghanistan",NA,NA,"Export",NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.00303345547038703,NA,NA,6.5420253231258,77.7405843005439,79.6479524056562,24150.6766557296,1.11276899679534,NA,NA,6.1,91.3399963378906,93.6999969482422,91326.5625,0,5148038,0,NA
"10","ECA",2000,"Afghanistan",NA,NA,"Import",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00303345547038703,NA,NA,6.5420253231258,77.7405843005439,79.6479524056562,24150.6766557296,1.11276899679534,NA,NA,6.1,91.3399963378906,93.6999969482422,91326.5625,0,0,0,NA
